TITULO,AUTOR,PUNTUACION,TIPO_TAPA
NO QUIERO OTRO INVIERNO SIN MÍ,REDRY DAVID GALAN,,Tapa blanda
LA CHICA DESASTRE DE LOS VESTIDOS DE VERANO,J.F. TORRES,,Tapa blanda
LA PIEL EN LOS LABIOS,MIGUEL GANE,9,Tapa blanda
A TRAVES DE LOS OJOS (EJEMPLAR FIRMADO POR EL AUTOR),ANDRES SUAREZ,,Tapa blanda
ADIOS AL FRIO,ELVIRA SASTRE,10,Tapa blanda
EDDA MENOR,SNORRI STURLUSON,8,Tapa blanda
MAGIAPALABRA,JOSE JAVIER ALFARO,,Tapa blanda
LA RATONERA,AGATHA CHRISTIE,8,Tapa blanda
EL CAMPAMENTO,BLUE JEANS,8,Tapa blanda
EL CAMPAMENTO (EJEMPLAR FIRMADO POR EL AUTOR),BLUE JEANS,,Tapa blanda
UNA CORTE DE ROSAS Y ESPINAS,SARAH J. MAAS,10,Tapa blanda
UNA CORTE DE NIEBLA Y FURIA (UNA CORTE DE ROSAS Y ESPINAS 2),SARAH J. MAAS,10,Tapa blanda
CULPA MÍA (CULPABLES 1),MERCEDES RON,10,Tapa blanda
CUATRO CORAZONES CON FRENO Y MARCHA ATRAS (2ª ED.),ENRIQUE JARDIEL PONCELA,10,Tapa blanda
A TRAVES DE MI VENTANA,ARIANA GODOY,10,Tapa blanda
UNA CORTE DE ALAS Y RUINA (UNA CORTE DE ROSAS Y ESPINAS 3),SARAH J. MAAS,10,Tapa blanda
GRISHAVERSE 1: SOMBRA Y HUESO,LEIGH BARDUGO,10,Tapa blanda
LAS PREGUNTAS QUE NOS UNEN,ALBA CANTALAPIEDRA,10,Tapa blanda
COÑODRAMAS,MODERNA DE PUEBLO,10,Tapa blanda
ESPIRITUS Y CRIATURAS DE JAPON,LAFCADIO HEARN,,Otros
MAUS,ART SPIEGELMAN,10,Tapa dura
NOCHES OSCURAS: DEATH METAL Nº 01 DE 7 (MEGADETH BAND EDITION) (CARTONE),SCOTT SNYDER,,Tapa dura
CONTRAPASO. LOS HIJOS DE LOS OTROS,TERESA VALERO,,Otros
JOJO S BIZARRE ADVENTURE PARTE 6: STONE OCEAN 6,HIROHIKO ARAKI,,Tapa blanda
UZUMAKI (INTEGRAL),JUNJI ITO,10,Tapa dura
ALICIA EN UN MUNDO REAL,ISABEL FRANC,,Tapa blanda
WARBURG & BEACH,JORGE CARRION,,Tapa dura
EXI. BIENVENIDOS A GLITCH CITY,EXI,10,Tapa dura
PRINCIPITO (COLORES ORIGINALES),ANTOINE DE SAINT-EXUPERY,10,Tapa blanda
UNA HERENCIA PELIGROSA (AMANDA BLACK 1),JUAN GOMEZ-JURADO,10,Tapa dura
EL PRINCIPITO  (EDICIÓN DE LUJO),ANTOINE DE SAINT-EXUPERY,10,Tapa dura
MITOS GRIEGOS,MARIA ANGELIDOU,7,Tapa blanda
¿PUEDO MIRAR TU PAÑAL?,GUIDO VAN GENECHTEN,10,Tapa dura
¿A QUE SABE LA LUNA?,MICHAEL GREJNIEC,10,Tapa dura
TROLARDY Y EL PAN DORADO,TROLEROTUTOS Y HARDY,10,Tapa blanda
LOS BUSCAPISTAS 1: EL CASO DEL CASTILLO ENCANTADO,T. BLANCH,8,Tapa blanda
EL POLLO PEPE,NICK DENCHFIELD,10,Tapa dura
SAPIENS (DE ANIMALES A DIOSES),YUVAL NOAH HARARI,9,Tapa blanda
VIVIR NO ES TAN DIVERTIDO Y ENVEJECER UN COÑAZO,OSCAR TUSQUETS BLANCA,,Tapa blanda
HOMO DEUS (EDICIÓN LIMITADA),YUVAL NOAH HARARI,9,Tapa blanda
MI LUCHA,ADOLF HITLER,8,Tapa blanda
"JERUSALEN, SANTA Y CAUTIVA",MIKEL AYESTARAN,,Tapa blanda
LA COSTURERA QUE ENCONTRÓ UN TESORO CUANDO FUE A HACER PIS,VICENTE G. OLAYA,10,Tapa blanda
CUADERNO DE MEMORIAS COLONIALES,ISABELA FIGUEIREDO,,Tapa blanda
AGENTE SONYA,BEN MACINTYRE,,Tapa dura
LA MITAD DEL MUNDO QUE FUE DE ESPAÑA,RAMON TAMAMES,,Tapa blanda
A SANGRE Y FUEGO,MANUEL CHAVES NOGALES,10,Tapa dura
LA DEMOLICIÓN. LA GRAN TRAICIÓN DE SÁNCHEZ A LA DEMOCRACIA,ROSA DIEZ,8,Tapa blanda
EL CAMAROTE DEL CAPITÁN,MARIUS CAROL,,Tapa blanda
LA ARMADURA DEL REY,ANA PARDO DE VERA,6,Tapa blanda
EL MANIFIESTO COMUNISTA,KARL MARX,10,Tapa blanda
MUJERES DEL ALMA MÍA,ISABEL ALLENDE,8,Tapa dura
UN AÑO A CORAZÓN ABIERTO,ORIOL MITJÀ,,Tapa dura
LAS 48 LEYES DEL PODER,ROBERT GREENE,10,Tapa blanda
ESCRIVIM EL FUTUR AMB TINTA LILA,CARME FORCADELL,,Tapa blanda
NO SOLO ES SOROS,JUAN ANTONIO DE CASTRO,10,Tapa blanda
EL SEGUNDO SEXO,SIMONE DE BEAUVOIR,10,Tapa blanda
BREVE TRATADO SOBRE LA ESTUPIDEZ HUMANA,RICARDO MORENO CASTILLO,5,Tapa blanda
UN INSTANTE ETERNO: FILOSOFIA DE LA LONGEVIDAD,PASCAL BRUCKNER,,Tapa blanda
ÉTICA COSMOPOLITA,ADELA CORTINA ORTS,,Tapa blanda
MEDITACIONES,MARCO AURELIO,,Tapa dura
"LA BRUJA VERDE: GUIA COMPLETA DE MAGIA NATURAL CON HIERBAS, FLORES, ACEITES ESENCIALES Y MAS",ARIN MURPHY-HISCOCK,10,Tapa blanda
CONSTELACIONES: GUIA DE ASTROLOGIA ILUSTRADA,CARLOTA SANTOS @CARLOTYDES,10,Tapa blanda
SABIDURÍA DE BRUJA. TAROT,DEBORAH BLAKE,,Tapa blanda
HASTA LA CUMBRE: TESTAMENTO ESPIRITUAL,PABLO DOMINGUEZ PRIETO,9,Tapa blanda
EJERCICIOS ESPIRITUALES,SANTO IGNACIO DE LOYOLA,10,Tapa blanda
DIOS TE QUIERE FELIZ,JOSE IGNACIO MUNILLA,10,Tapa blanda
ESO NO ESTABA EN MI LIBRO DE HISTORIA DEL CINE,JAVIER ORTEGA,,Tapa blanda
PACK TC EMOCIONARTE . LA DOBLE VIDA DE LOS CUADROS (PREMIO ESPASA 2020),CARLOS DEL AMOR,,Tapa blanda
EL CAMINO DEL ARTISTA,JULIA CAMERON,9,Tapa blanda
HISTORIA DEL ARTE EN COMIC: EL RENACIMIENTO,PEDRO CIFUENTES,,Tapa dura
EMOCIONARTE . LA DOBLE VIDA DE LOS CUADROS. PREMIO ESPASA 2020,CARLOS DEL AMOR,10,Tapa blanda
"VIVE COMO UN MENDIGO, BAILA COMO UN REY",IGNATIUS FARRAY,10,Tapa dura
EL GUION (2ª ED.),ROBERT MCKEE,9,Tapa blanda
LA PALETA PERFECTA,LAUREN WAGER,,Tapa blanda
HARRY POTTER: LA COLECCION DE ESCOBAS Y OTROS ARTEFACTOS DEL MUNDO MAGICO,JODY REVENSON,,Tapa dura
EL FIN DE LA FIESTA,RUBEN AMON DELGADO,10,Tapa blanda
EL INFINITO EN UN JUNCO: LA INVENCION DE LOS LIBROS DEL MUNDO ANTIGUO,IRENE VALLEJO,10,Tapa blanda
LO UNO Y LO DIVERSO,INSTITUTO CERVANTES,,Tapa blanda
EL INFINITO EN UN JUNCO: LA INVENCION DE LOS LIBROS EN EL MUNDO ANTIGUO,IRENE VALLEJO,10,Tapa dura
LA AMISTAD DE DOS GIGANTES: CORRESPONDENCIA (1960-2007),MIGUEL DELIBES,,Tapa blanda
LENGUAJE INCLUSIVO Y EXCLUSION DE CLASE,BRIGITTE VASALLO,,Tapa blanda
YOGA,EMMANUEL CARRÈRE,9,Tapa blanda
SEIS PROPUESTAS PARA EL PROXIMO MILENIO,ITALO CALVINO,5,Tapa blanda
EL ESPAÑOL A TRAVES DE LOS TIEMPOS,RAFAEL CANO AGUILAR,10,Otros
EXAMENES COMENTADOS DE LENGUA CASTELLANA: CURSO DE ACCESO,VV.AA.,10,Tapa blanda
NOTAS PARA UNAS MEMORIAS QUE NUNCA ESCRIBIRE,JUAN MARSE,,Tapa dura
"PADRE RICO, PADRE POBRE: QUE LES ENSEÑAN LOS RICOS A SUS HIJOS ACERCA DEL DINERO, ¡QUE LOS POBRES Y LA CLASE MEDIA NO!",ROBERT T. KIYOSAKI,10,Tapa blanda
¡VIVA EL SOCIALISMO!,THOMAS PIKETTY,,Tapa blanda
EL INVERSOR INTELIGENTE,BENJAMIN GRAHAM,9,Tapa blanda
UN PASO POR DELANTE DE WALL STREET: COMO UTILIZAR LO QUE YA SABES PARA GANAR DINERO EN BOLSA,PETER LYNCH,9,Tapa blanda
OTRA REALIDAD,YANIS VAROUFAKIS,10,Tapa blanda
CAPITALISMO (1679-2065),SANTIAGO NIÑO BECERRA,9,Tapa dura
INVIERTE EN TI: COMO ORGANIZAR TU ECONOMIA EN 11 PASOS PARA VIVIR MEJOR,NATALIA DE SANTIAGO,10,Tapa blanda
EL HOMBRE MÁS RICO DE BABILONIA,GEORGE S. CLASON,10,Tapa blanda
LA VACA PURPURA: DIFERENCIATE PARA TRANSFORMAR TU NEGOCIO,SETH GODIN,9,Tapa blanda
EL CUADRANTE DEL FLUJO DE DINERO: GUIA DEL PADRE RICO PARA LA LIBERTAD FINANCIERA,ROBERT T. KIYOSAKI,9,Tapa blanda
NIADELA,BEATRIZ MONTAÑEZ,8,Tapa blanda
DIOSES Y MENDIGOS: LA GRAN ODISEA DE LA EVOLUCIÓN HUMANA,JOSE MARIA BERMUDEZ DE CASTRO,,Tapa dura
CUÁNTIX (CÓMIC) (LIBROS SINGULARES),LAURENT SCHAFER,,Tapa blanda
ECOLOGISMO REAL,J.M. MULET,,Tapa blanda
LOS FÍSICOS Y DIOS,EDUARDO BATTANER LOPEZ,,Tapa blanda
LUNARIO 2021,MICHEL GROS,10,Tapa blanda
EL BOSON DE HIGGS,JAVIER SANTAOLALLA,10,Tapa blanda
LA VIDA CONTADA POR UN SAPIENS A UN NEANDERTAL,JUAN JOSE MILLAS,10,Tapa blanda
COMO ACABAR SIGILOSAMENTE CON LA HUMANIDAD,EL CORONAVIRUS DE TWITTER,10,Tapa dura
COSMOS,CARL SAGAN,10,Tapa dura
ADELGAZA CON KAORU,KAORU,10,Tapa dura
KRUBERA-VORONYA,GONZALO NUÑEZ,,Tapa blanda
FITNESS REVOLUCIONARIO: LECCIONES ANCESTRALES PARA UNA SALUD SALVAJE,MARCOS VAZQUEZ,10,Tapa blanda
IKER KARRERA. CABEZA DE KARRERA,UNAI UGARTEMENDIA,,Tapa blanda
EL MÉTODO SAKUMA,KENICHI SAKUMA,10,Tapa blanda
CATAN: LIBRO DE ENIGMAS Y ACERTIJOS,RICHARD WOLFRIK GALLAND,,Tapa dura
FUNDAMENTOS DEL AJEDREZ,JOSE RAUL CAPABLANCA,10,Tapa blanda
COMO LA VIDA IMITA AL AJEDREZ,GARRY KASPAROV,10,Tapa blanda
EL METODO GUARDIOLA,MIQUEL ANGEL VIOLAN,8,Tapa blanda
EL METODO SAKUMA FULL BODY: EL SECRETO JAPONES PARA TONIFICAR LAS ZONAS REBELDES DE TU CUERPO EN UN MES,KENICHI SAKUMA,7,Tapa dura
